фраза	частота_мес	группа
налоговый вычет	916869	01 Общие (заполнить/подать 3-НДФЛ)
3 ндфл	265906	01 Общие (заполнить/подать 3-НДФЛ)
подать декларацию	141684	01 Общие (заполнить/подать 3-НДФЛ)
декларация 3 ндфл	104709	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет 2026	82867	01 Общие (заполнить/подать 3-НДФЛ)
можно ли налоговый вычет	68903	01 Общие (заполнить/подать 3-НДФЛ)
возврат ндфл	58324	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет сколько	57050	01 Общие (заполнить/подать 3-НДФЛ)
как получить налоговый вычет	55726	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет за покупку	48671	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет через налоговую	48441	01 Общие (заполнить/подать 3-НДФЛ)
как подавать декларацию	46888	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет за год	43870	01 Общие (заполнить/подать 3-НДФЛ)
сумма налогового вычета	43539	01 Общие (заполнить/подать 3-НДФЛ)
можно ли получить налоговый вычет	38095	01 Общие (заполнить/подать 3-НДФЛ)
налоговая 3 ндфл	36809	01 Общие (заполнить/подать 3-НДФЛ)
вычет 3 ндфл	29756	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет по процентам	28872	01 Общие (заполнить/подать 3-НДФЛ)
3 ндфл 3 года	27371	01 Общие (заполнить/подать 3-НДФЛ)
какие налоговые вычеты можно	26663	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет сколько можно	26069	01 Общие (заполнить/подать 3-НДФЛ)
справка для налогового вычета	24357	01 Общие (заполнить/подать 3-НДФЛ)
налогов декларация 3 ндфл	24336	01 Общие (заполнить/подать 3-НДФЛ)
получение налогового вычета	24161	01 Общие (заполнить/подать 3-НДФЛ)
заявление на налоговый вычет	23461	01 Общие (заполнить/подать 3-НДФЛ)
3 ндфл доход	23297	01 Общие (заполнить/подать 3-НДФЛ)
налоговые вычеты в 2026 году	23288	01 Общие (заполнить/подать 3-НДФЛ)
суть налогового вычета	22936	01 Общие (заполнить/подать 3-НДФЛ)
заполнить 3 ндфл	22881	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет 3	22529	01 Общие (заполнить/подать 3-НДФЛ)
как оформить налоговый вычет	21381	01 Общие (заполнить/подать 3-НДФЛ)
налоговая декларация 3 ндфл	20537	01 Общие (заполнить/подать 3-НДФЛ)
документы для налогового вычета	20348	01 Общие (заполнить/подать 3-НДФЛ)
