дата,заказов_создано,оплачено,сумма_оплат_руб
2026-07-06,9,2,198
2026-07-10,1,1,199
2026-07-12,2,2,398
2026-07-13,2,2,398
2026-07-15,2,2,398
2026-07-18,1,1,199
2026-07-21,2,2,199
2026-07-22,1,1,0
2026-07-24,4,2,398
2026-07-25,1,1,199
2026-07-26,1,1,199
2026-07-29,1,1,199
2026-07-30,1,1,199
2026-08-03,2,2,398
2026-08-04,3,2,199
2026-08-05,3,3,597
2026-08-10,1,1,199
2026-08-11,1,0,0
2026-08-12,3,3,597
2026-08-13,1,1,199
2026-08-18,3,1,199
2026-08-19,1,0,0
2026-08-20,3,2,398
2026-08-24,2,2,398
2026-08-29,1,1,199
2026-09-05,1,1,199
2026-09-06,1,1,199
2026-09-07,2,2,398
2026-09-08,1,1,199
